FAM_0001;REF
HALDEX  ;000700042                
HALDEX  ;000700080                
HALDEX  ;0020526090               
HALDEX  ;0020527090               
HALDEX  ;0020530090               
HALDEX  ;003000809                
HALDEX  ;003001009                
HALDEX  ;003001109                
HALDEX  ;003005209                
HALDEX  ;003005919                
HALDEX  ;003033609                
HALDEX  ;003038009                
HALDEX  ;003038609                
HALDEX  ;003400819                
HALDEX  ;003402009                
HALDEX  ;003402109                
HALDEX  ;003416119                
HALDEX  ;003418609                
HALDEX  ;003437909                
HALDEX  ;003460209                
HALDEX  ;003480209                
HALDEX  ;003485509                
HALDEX  ;003500409                
HALDEX  ;003508909                
HALDEX  ;003535309                
HALDEX  ;003561409                
HALDEX  ;003561409I               
HALDEX  ;003567809                
HALDEX  ;003567909                
HALDEX  ;003568009                
HALDEX  ;003568309                
HALDEX  ;003575709                
HALDEX  ;003587409                
HALDEX  ;003591709                
HALDEX  ;003591809                
HALDEX  ;003603309                
HALDEX  ;003607619                
HALDEX  ;003607709                
HALDEX  ;003607909                
HALDEX  ;003612409                
HALDEX  ;003613409                
HALDEX  ;003614419                
HALDEX  ;003614509                
HALDEX  ;003616009                
HALDEX  ;003616409                
HALDEX  ;003618709                
HALDEX  ;003620609                
HALDEX  ;003624309                
HALDEX  ;003624319                
HALDEX  ;003626209                
HALDEX  ;003634009                
HALDEX  ;003636009                
HALDEX  ;003733509                
HALDEX  ;003755509                
HALDEX  ;003760509                
HALDEX  ;003774009                
HALDEX  ;003787209                
HALDEX  ;003787309                
HALDEX  ;003787409                
HALDEX  ;003787509                
HALDEX  ;003791909                
HALDEX  ;003792009                
HALDEX  ;003792109                
HALDEX  ;003824309                
HALDEX  ;003825809                
HALDEX  ;003825909                
HALDEX  ;003839109                
HALDEX  ;003843309                
HALDEX  ;003846709                
HALDEX  ;003852809                
HALDEX  ;003852909                
HALDEX  ;003853209                
HALDEX  ;003854509                
HALDEX  ;003855209                
HALDEX  ;003856709                
HALDEX  ;003863709                
HALDEX  ;003870009                
HALDEX  ;003892709                
HALDEX  ;003898709                
HALDEX  ;003910609                
HALDEX  ;003918409                
HALDEX  ;003926009                
HALDEX  ;003926109                
HALDEX  ;003928409                
HALDEX  ;003928419                
HALDEX  ;003928509                
HALDEX  ;003928609                
HALDEX  ;003928709                
HALDEX  ;003928719                
HALDEX  ;003928809                
HALDEX  ;003933509                
HALDEX  ;003933510                
HALDEX  ;003950209                
HALDEX  ;003951709                
HALDEX  ;003958009                
HALDEX  ;003959509                
HALDEX  ;003987309                
HALDEX  ;003987409                
HALDEX  ;003987609                
HALDEX  ;003987709                
HALDEX  ;003987809                
HALDEX  ;003991109                
HALDEX  ;003991909                
